Accreditation code,Power station name,State,Installed capacity,Postcode,Fuel source(s),Accreditation start date,Suspension status,Baseline (MWh),Comment
WD00WA02,Albany,WA,21.6,6330,Wind,1/04/2001,Unsuspended,0,n/a
HY00QL02,Barron Gorge,QLD,66,4881,Hydro,1/04/2001,Unsuspended,202914,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA07,Bastyan,TAS,79.9,7321,Hydro,1/04/2001,Unsuspended,338533,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBMNS02,Bayswater Power Station,NSW,2640,2333,Biomass,1/04/2001,Unsuspended,0,The capacity for this power station is not counted towards accredited capacity in the RET.
BEBGAC01,Belconnen LFG Power Plant,ACT,1,2616,Biomass,1/04/2001,Suspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGNS02,Belrose LFG Power Plant,NSW,1,2085,Biomass,1/04/2001,Suspended,21739,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGVC02,Berwick LFG Power Plant,VIC,5.18,3804,Biomass,1/04/2001,Suspended,20446,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
WD00NS02,Blayney Wind Farm,NSW,9.9,2799,Wind,1/04/2001,Unsuspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00NS08,Blowering,NSW,80,2720,Hydro,1/04/2001,Unsuspended,267080,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGVC01,Broadmeadows LFG Power Plant,VIC,5.905,3047,Biomass,1/04/2001,Suspended,24601,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HYMINS02,Brown Mountain Power Station,NSW,4.95,2550,Hydro,1/04/2001,Unsuspended,10636,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGQL01,Browns Plains LFG Power Plant,QLD,2.18,4118,Biomass,1/04/2001,Unsuspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HYMINS03,Burrinjuck Power Station,NSW,34,2582,Hydro,1/04/2001,Unsuspended,28618,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA08,Butlers Gorge,TAS,14.4,7030,Hydro,1/04/2001,Unsuspended,59015,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
SRPVQL04,Caboolture Region Environment Education Centre,QLD,0.0049,4505,Solar,1/04/2001,Suspended,0,n/a
HYMIVC01,Cairn Curran,VIC,2,3463,Hydro,1/04/2001,Unsuspended,3342,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA09,Catagunya,TAS,48,7140,Hydro,1/04/2001,Unsuspended,218794,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA10,Cethana,TAS,85,7306,Hydro,1/04/2001,Unsuspended,389482,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGVC04,Clayton LFG Power Plant - VIC,VIC,12.15,3172,Biomass,1/04/2001,Unsuspended,79777,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGQL03,Cleveland Bay,QLD,0.125,4811,Biomass,1/04/2001,Suspended,0,n/a
HY00VC04,Clover,VIC,24,3000,Hydro,1/04/2001,Unsuspended,63334,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA11,Cluny,TAS,22,7140,Hydro,1/04/2001,Unsuspended,83851,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGVC03,Corio LFG Power Plant,VIC,1,3214,Biomass,1/04/2001,Suspended,4620,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
WD00NS03,Crookwell Wind Farm,NSW,4.8,2583,Wind,1/04/2001,Unsuspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
WD00WA01,Denham,WA,1.02,6537,Wind,1/04/2001,Unsuspended,0,n/a
HY00TA12,Devils Gate,TAS,63.5,7306,Hydro,1/04/2001,Unsuspended,284695,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HYMIVC04,Eildon Pondage Hydro,VIC,4.5,3713,Hydro,1/04/2001,Unsuspended,13374,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBMQL03,Farleigh Mill,QLD,11.5,4740,Biomass,1/04/2001,Unsuspended,20998,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA03,Fisher,TAS,43.2,7306,Hydro,1/04/2001,Unsuspended,211526,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
SRPVQL02,Go 100% Renewable Generation,QLD,0.0015,4075,Solar,1/04/2001,Suspended,0,n/a
HY00TA01,Gordon,TAS,432,7139,Hydro,1/04/2001,Unsuspended,1239971,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00NS04,Guthega,NSW,80,2624,Hydro,1/04/2001,Unsuspended,148386,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGSA03,Highbury LFG Power Plant,SA,1,5089,Biomass,1/04/2001,Suspended,0,n/a
SRPVNS02,Homebush Photovoltaic Power Station,NSW,0.0112,2140,Solar,1/04/2001,Suspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00NS01,Hume Power Station,NSW,58,2640,Hydro,1/04/2001,Unsuspended,222902,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
WD00TA01,Huxley Hill - Wind and Solar - TAS,TAS,4.7601,7256,Wind,1/04/2001,Unsuspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA13,John Butters,TAS,144,7000,Hydro,1/04/2001,Unsuspended,522831,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00QL01,Kareeya,QLD,86.4,4854,Hydro,1/04/2001,Unsuspended,417233,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HYMINS04,Keepit Power Station,NSW,7.2,2340,Hydro,1/04/2001,Unsuspended,11189,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HYMIQL01,Koombooloomba,QLD,7,4888,Hydro,1/04/2001,Unsuspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
WD00NS01,Kooragang Island Wind Turbine,NSW,0.6,2304,Wind,1/04/2001,Suspended,0,n/a
HY00TA14,Lake Echo,TAS,32.4,7140,Hydro,1/04/2001,Unsuspended,68363,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HYMIVC03,Lake Glenmaggie Hydro-Electric Power Station,VIC,3.8,3858,Hydro,1/04/2001,Unsuspended,6592,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HYMITA02,Lake Margaret,TAS,8.4,7321,Hydro,1/04/2001,Suspended,45888,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HYMIVC02,Lake William Hovell Hydro-Electric Power Station,VIC,1.55,3678,Hydro,1/04/2001,Unsuspended,4220,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA16,Lemonthyme,TAS,51,7304,Hydro,1/04/2001,Unsuspended,289305,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA04,Liapootah,TAS,87.3,7140,Hydro,1/04/2001,Unsuspended,405158,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBMNS01,Liddell Power Station,NSW,2000,2333,Biomass,1/04/2001,Suspended,0,The capacity for this power station is not counted towards accredited capacity in the RET.
BEBGNS01,Lucas Heights I & II LFG Power Plant,NSW,21.92,2234,Biomass,1/04/2001,Unsuspended,21770,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA17,Mackintosh,TAS,79.9,7321,Hydro,1/04/2001,Unsuspended,329485,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00VC03,McKay Creek,VIC,160,3000,Hydro,1/04/2001,Unsuspended,100172,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA18,Meadowbank,TAS,40,7140,Hydro,1/04/2001,Unsuspended,167008,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGQL02,Mount St John,QLD,0.125,4810,Biomass,1/04/2001,Suspended,0,n/a
BEBGAC02,Mugga Lane LFG Power Plant,ACT,4.12,2620,Biomass,1/04/2001,Suspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00NS09,Murray 1,NSW,975,2642,Hydro,1/04/2001,Unsuspended,1319577,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00NS10,Murray 2,NSW,600,2642,Hydro,1/04/2001,Unsuspended,722496,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00WA01,Ord River Hydro Electric Power,WA,30,6743,Hydro,1/04/2001,Unsuspended,185684,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA19,Paloona,TAS,28,7306,Hydro,1/04/2001,Unsuspended,123660,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGSA01,Pedler Creek LFG Power Plant,SA,3,5171,Biomass,1/04/2001,Suspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBMQL04,Pleystowe Mill,QLD,10.1,4740,Biomass,1/04/2001,Suspended,24316,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA06,Poatina,TAS,327,7302,Hydro,1/04/2001,Unsuspended,1033831,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBMQL05,Racecourse Mill,QLD,48.5,4740,Biomass,1/04/2001,Unsuspended,25438,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA20,Reece,TAS,231.2,7321,Hydro,1/04/2001,Unsuspended,910156,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA15,Repulse,TAS,28,7140,Hydro,1/04/2001,Unsuspended,141351,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
SRPVWA02,Rooftop PV,WA,0,6149,Solar,1/04/2001,Suspended,0,The installed capacity includes capacity that received small-scale technology certificates (STCs) under the Small-scale Renewable Energy Target (SRES).
SRPVAC01,Rooftop PV,ACT,0.0029,2607,Solar,1/04/2001,Suspended,0,n/a
HY00TA21,Rowallan,TAS,10.45,7306,Hydro,1/04/2001,Unsuspended,34407,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00VC02,Rubicon System,VIC,13.55,3000,Hydro,1/04/2001,Unsuspended,65854,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
SRPVNS03,Singleton Photovoltaic Power Station,NSW,0.407,2330,Solar,1/04/2001,Suspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HYMIQL02,Somerset Dam Q,QLD,3.2,4312,Hydro,1/04/2001,Suspended,9544,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGQL05,Swanbank,QLD,480,4305,Biomass,1/04/2001,Unsuspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
SRPVNS01,Sydney Superdome Photovoltaic,NSW,0.07,2127,Solar,1/04/2001,Suspended,0,n/a
HY00TA22,Tarraleah,TAS,90,7140,Hydro,1/04/2001,Unsuspended,508270,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGSA02,Tea Tree Gully LFG Power Plant,SA,1,5097,Biomass,1/04/2001,Suspended,0,n/a
HYMITA03,Tods Corner,TAS,1.6,7302,Hydro,1/04/2001,Unsuspended,5939,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA05,Trevallyn,TAS,83.6,7250,Hydro,1/04/2001,Unsuspended,430514,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA23,Tribute,TAS,82.8,7321,Hydro,1/04/2001,Unsuspended,184457,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00NS05,Tumut 1,NSW,370,2629,Hydro,1/04/2001,Unsuspended,844046,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00NS06,Tumut 2,NSW,295,2629,Hydro,1/04/2001,Unsuspended,776260,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00NS07,Tumut 3,NSW,1800,2720,Hydro,1/04/2001,Unsuspended,487047,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA02,Tungatinah,TAS,125,7140,Hydro,1/04/2001,Unsuspended,492035,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00NS03,Warragamba Power Station,NSW,50,2752,Hydro,1/04/2001,Suspended,39666,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA24,Wayatinah,TAS,38.3,7140,Hydro,1/04/2001,Unsuspended,243523,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HYMIWA01,Wellington,WA,2,6020,Hydro,1/04/2001,Suspended,3804,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00VC01,West Kiewa,VIC,62,3000,Hydro,1/04/2001,Unsuspended,172034,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00TA25,Wilmot,TAS,30.6,7306,Hydro,1/04/2001,Unsuspended,122432,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
WD00QL01,Windy Hill,QLD,12,4888,Wind,1/04/2001,Unsuspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGSA04,Wingfield I & II LFG Power Plant,SA,8.16,5013,Biomass,1/04/2001,Unsuspended,21437,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00NS02,Wyangala,NSW,18,2808,Hydro,1/04/2001,Unsuspended,61980,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HYMCNS01,Chichester Dam,NSW,0.11,2420,Hydro,3/04/2001,Unsuspended,0,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBMQL07,Marian Mill,QLD,18,4753,Biomass,3/04/2001,Unsuspended,25337,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGVC05,Western Treatment Plant - Werribee - SG - VIC,VIC,15.13,3030,Biomass,3/04/2001,Unsuspended,4950,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
SRPVQL03,Rooftop PV,QLD,0.0016,4102,Solar,4/04/2001,Suspended,0,n/a
BEBMQL02,Isis Central Sugar Mill,QLD,34.2,4660,Biomass,17/04/2001,Unsuspended,12771,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
SRPVNS04,Rooftop PV,NSW,0.0014,2766,Solar,20/04/2001,Suspended,0,n/a
BEBGWA02,Kalamunda Power Station,WA,2,6058,Biomass,23/04/2001,Suspended,8176,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGWA01,Red Hill Power Station,WA,4,6056,Biomass,23/04/2001,Unsuspended,6056,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HYMCQL01,Landers Shute HydroElectric,QLD,0.308,4555,Hydro,26/04/2001,Unsuspended,0,n/a
BEBMQL09,Tableland Mill,QLD,24,4880,Biomass,26/04/2001,Unsuspended,0,n/a
SRPVWA01,Rooftop PV,WA,0.0014,6011,Solar,27/04/2001,Suspended,0,n/a
BEBMQL01,Tully Sugar Mill,QLD,32.8,4854,Biomass,3/05/2001,Unsuspended,15931,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBMQL15,Invicta Mill,QLD,50.5,4809,Biomass,22/05/2001,Unsuspended,63363,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
WDOOVC01,Codrington Wind Farm,VIC,18.2,3285,Wind,24/05/2001,Unsuspended,0,n/a
BEBGNS03,Jacks Gully,NSW,2.3,2570,Biomass,25/05/2001,Unsuspended,0,n/a
BEBMQL08,Kalamia Mill,QLD,9,4807,Biomass,31/05/2001,Unsuspended,24987,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBMQL11,Maryborough Sugar Factory,QLD,7.5,4650,Biomass,5/06/2001,Unsuspended,6778,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
SRPVNS07,Western Plains Zoo Solar System,NSW,0.0499,2830,Solar,5/06/2001,Suspended,0,n/a
BEBMQL12,Inkerman Mill,QLD,12.4,4806,Biomass,8/06/2001,Unsuspended,28377,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBMQL14,Plane Creek Mill,QLD,14.8,4737,Biomass,8/06/2001,Unsuspended,19669,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBMQL10,Macknade Mill,QLD,8,4850,Biomass,13/06/2001,Unsuspended,19468,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBMNS03,Wallerawang Power Station,NSW,1000,2845,Biomass,14/06/2001,Suspended,0,The capacity for this power station is not counted towards accredited capacity in the RET.
SRPVQL01,Solaris,QLD,0.0014,4160,Solar,18/06/2001,Suspended,0,n/a
HY00VC05,Dartmouth,VIC,150,3701,Hydro,20/06/2001,Unsuspended,231228,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00VC06,Eildon Power Station,VIC,135,3713,Hydro,20/06/2001,Unsuspended,197259,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
WD00QL02,Thursday Island,QLD,0.45,4875,Wind,20/06/2001,Unsuspended,0,n/a
BEBMQL16,South Johnstone Sugar Mill,QLD,19.3,4859,Biomass,22/06/2001,Unsuspended,16604,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGWA04,Canningvale,WA,1.2,6155,Biomass,25/06/2001,Suspended,24681,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HYMINS01,Pindari Hydro-Electric Power Station,NSW,5.4,2361,Hydro,27/06/2001,Unsuspended,0,n/a
BEBMQL23,Babinda Sugar Mill,QLD,6,4861,Biomass,4/07/2001,Suspended,12899,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBMNS05,Harwood Mill,NSW,4.5,2465,Biomass,2/08/2001,Unsuspended,13677,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGNS04,Malabar Sewage Treatment Plant,NSW,4.196,2036,Biomass,7/08/2001,Unsuspended,0,n/a
SRPVNS09,Foreshore Power Station,NSW,0.0065,2300,Solar,20/08/2001,Suspended,7,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00NS12,Burrendong,NSW,19,2820,Hydro,22/08/2001,Unsuspended,40880,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HY00NS11,Copeton,NSW,20,2360,Hydro,22/08/2001,Unsuspended,35471,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HYMINS05,Glenbawn,NSW,5.5,2337,Hydro,22/08/2001,Unsuspended,11968,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
SRPVVC01,Fosterville Test Facility,VIC,0.024,3571,Solar,7/09/2001,Suspended,0,n/a
WD00NS04,Hampton Wind Park,NSW,1.32,2790,Wind,7/09/2001,Unsuspended,0,n/a
BEBLNS01,Visy Pulp and Paper,NSW,37.2,2720,Biomass,17/09/2001,Unsuspended,0,n/a
SRPVWA03,Noranda Primary School,WA,0.0029,6062,Solar,24/09/2001,Suspended,0,n/a
BEBMQL13,Pioneer Mill,QLD,67.7,4808,Biomass,25/09/2001,Unsuspended,22941,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBMQL17,Victoria Mill,QLD,24,4850,Biomass,25/09/2001,Unsuspended,34030,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBLWA01,Rufftuff,WA,1.49,6084,Biomass,28/09/2001,Suspended,0,n/a
HYMIVC05,Yarrawonga Power Station,VIC,9.45,3730,Hydro,4/10/2001,Unsuspended,48990,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBMQL06,Proserpine Sugar Mill,QLD,19,4800,Biomass,24/10/2001,Unsuspended,22961,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
SRPVSA02,Lavina June,SA,0.0014,5007,Solar,25/10/2001,Suspended,0,n/a
BEBMNS04,Vales Point,NSW,1320,2259,Biomass,26/10/2001,Unsuspended,0,The capacity for this power station is not counted towards accredited capacity in the RET.
HYMINS06,Illawarra Water Filtration Plant,NSW,6.5,2526,Hydro,11/12/2001,Unsuspended,22555,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGWA05,Woodman Point Energy Recovery,WA,2,6166,Biomass,14/12/2001,Unsuspended,0,n/a
HYMINS07,Nymboida Hydro,NSW,6,2460,Hydro,4/01/2002,Suspended,24301,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
HYMINS08,Oaky Hydro,NSW,4.8,2350,Hydro,4/01/2002,Suspended,12587,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGNS08,Cronulla Sewage Treatment Plant,NSW,0.835,2230,Biomass,23/01/2002,Unsuspended,0,n/a
SRPVNS13,Queanbeyan Solar Farm,NSW,0.0554,2620,Solar,25/01/2002,Suspended,0,n/a
BEBLVC01,Maryvale Mill,VIC,55,3840,Biomass,31/01/2002,Unsuspended,154445,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGNS05,West Nowra Landfill Gas,NSW,1.019,2541,Biomass,14/02/2002,Suspended,0,n/a
HYMIAC01,Stromlo - Hydro - ACT,ACT,0.63,2611,Hydro,26/03/2002,Unsuspended,0,n/a
BEBMWA02,Muja,WA,854,6225,Biomass,2/04/2002,Unsuspended,0,The capacity for this power station is not counted towards accredited capacity in the RET.
BEBGQL04,Molendinar Landfill,QLD,0.505,4214,Biomass,9/04/2002,Suspended,0,n/a
WD00WA04,Esperance 10 mile Lagoon Wind Farm,WA,2.025,6450,Wind,10/04/2002,Suspended,5463,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
WD00WA03,Exmouth Advanced Mini Wind Farm,WA,0.06,6707,Wind,10/04/2002,Suspended,0,n/a
BEBMWA01,CJ Ord River Power Plant,WA,6,6743,Biomass,15/04/2002,Suspended,8760,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBMNS06,Broadwater Mill,NSW,38,2472,Biomass,26/04/2002,Unsuspended,16180,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBMNS07,Condong Sugar Mill,NSW,33,2484,Biomass,26/04/2002,Unsuspended,8428,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
SRPVVC02,Rufusredtail,VIC,0.0014,3135,Solar,26/04/2002,Suspended,0,n/a
WD00TA02,Woolnorth Wind Farm,TAS,64.75,7330,Wind,9/05/2002,Unsuspended,0,n/a
BEBMQL21,Stapylton,QLD,0.77,4207,Biomass,10/05/2002,Suspended,0,n/a
BEBGVC06,Brooklyn LFG Power Plant,VIC,2.95,3012,Biomass,15/05/2002,Suspended,0,n/a
BEBGNS06,Eastern Creek LFG Power Plant,NSW,5.04,2766,Biomass,15/05/2002,Unsuspended,0,n/a
BEBMNS08,Mt Piper Power Station,NSW,1400,2847,Biomass,16/05/2002,Suspended,0,The capacity for this power station is not counted towards accredited capacity in the RET.
BEBMQL22,Millaquin Sugar Mill,QLD,10,4670,Biomass,20/05/2002,Unsuspended,12489,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
WD00VC02,Toora Wind Farm,VIC,21,3962,Wind,28/05/2002,Unsuspended,0,n/a
BEBGVC08,Mornington Landfill,VIC,0.789,3939,Biomass,4/06/2002,Unsuspended,0,n/a
BEBGVC07,Wyndham Landfill,VIC,5.794,3030,Biomass,4/06/2002,Unsuspended,0,n/a
BEBMQL19,Mossman Mill,QLD,9,4873,Biomass,13/06/2002,Unsuspended,12537,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBMQL20,Bingera Sugar Mill,QLD,5,4670,Biomass,1/07/2002,Suspended,10880,This power station was generating electricity prior to 1 January 1997. Only annual generation above the baseline is eligible for LGCs.
BEBGNS07,Earthpower Technologies Sydney,NSW,3.9,2142,Biomass,12/07/2002,Unsuspended,0,n/a
BEBGQL08,Reedy Creek,QLD,0.505,4228,Biomass,6/08/2002,Suspended,0,n/a
BEBGQL06,Suntown Landfill Power Station,QLD,1.77,4214,Biomass,6/08/2002,Suspended,0,n/a
HYMCNS03,Dungog Mini Hydro,NSW,0.13,2420,Hydro,12/08/2002,Unsuspended,0,n/a
SRPVNS11,Pine Bluff Campus,NSW,0.021,2583,Solar,8/10/2002,Suspended,0,n/a
HYMCNS04,Yellow Rock,NSW,0.004,2527,Hydro,9/10/2002,Suspended,0,n/a
BEBGQL07,Stapylton LFG,QLD,3.38,4207,Biomass,18/10/2002,Unsuspended,0,n/a
HYMIQL03,Wivenhoe Hydro,QLD,4.7,4306,Hydro,6/11/2002,Unsuspended,0,n/a
SRPVVC03,Queen Victoria Market,VIC,0.1992,3000,Solar,29/11/2002,Suspended,0,n/a
WD00VC03,Challicum Hills Wind Farm,VIC,52.5,3375,Wind,13/12/2002,Unsuspended,0,n/a
WD00SA01,Starfish Hill Wind Farm,SA,33,5162,Wind,3/01/2003,Unsuspended,0,n/a
SRPVSA03,Wilpena Pound,SA,0.1,5434,Solar,16/01/2003,Unsuspended,0,n/a
SRPVNT01,Bulman Solar,NT,0.0563,0852,Solar,17/02/2003,Suspended,0,n/a
HYMINS09,The Drop,NSW,2.5,3644,Hydro,18/02/2003,Unsuspended,0,n/a
WD00TA03,Mawson,TAS,0.775,7151,Wind,7/04/2003,Unsuspended,0,n/a
WD00WA05,Esperance 9 Mile Beach Wind Farm,WA,3.6,6450,Wind,9/04/2003,Suspended,0,n/a
